Year,Local,Global,Team,Rating,Change Rank,Change Rating,Avg Rank,Avg Rating,Year Rank,Year Rating,Total,Home,Away,Neutral,Win,Losses,Draws
1930,1,1,Argentina,2062,0,-15,3,1981,0,-9,185,86,72,27,92,50,43
1930,2,2,Uruguay,2037,1,65,4,1950,0,0,167,68,72,27,78,54,35
1930,3,9,Brazil,1880,-2,-50,7,1892,-4,-50,41,12,14,15,17,16,8
1930,4,15,United States,1773,5,87,17,1703,6,87,14,2,6,6,7,5,2
1930,5,16,Paraguay,1739,-1,-41,16,1742,6,54,51,13,19,19,16,28,7
1930,6,25,Chile,1646,7,68,31,1429,7,68,43,12,14,17,5,31,7
1930,7,28,Yugoslavia,1631,5,56,32,1563,1,21,39,14,19,6,14,21,4
1930,8,31,Romania,1601,4,35,32,1568,8,69,26,12,12,2,11,11,4
1930,9,33,Belgium,1571,-6,-64,13,1770,-9,-60,119,63,51,5,42,59,18
1930,10,35,France,1559,5,36,22,1568,1,19,98,52,38,8,25,63,10
1930,11,40,Peru,1498,-4,-44,32,1568,-8,-80,8,3,2,3,1,7,0
1930,12,41,Mexico,1495,-11,-118,22,1675,-13,-118,11,3,3,5,4,6,1
1930,13,63,Bolivia,1244,-2,-15,58,1261,-4,-15,9,0,2,7,0,9,0
1934,1,1,Italy,2046,4,73,13,1743,3,54,116,60,42,14,56,31,29
1934,2,2,Argentina,2013,-1,-52,3,1990,-1,-41,196,91,77,28,98,53,45
1934,3,3,Austria,1993,-1,-55,7,1879,0,-7,166,76,82,8,82,52,32
1934,4,6,Spain,1968,1,33,4,1968,2,59,50,19,22,9,33,9,8
1934,5,7,Czechoslovakia,1903,2,57,8,1878,4,74,97,39,49,9,50,26,21
1934,6,9,Brazil,1863,-3,-76,7,1897,-2,-76,48,16,16,16,22,18,8
1934,7,10,Germany,1853,2,53,15,1701,3,95,104,48,47,9,40,43,21
1934,8,11,Hungary,1846,0,16,6,1896,-1,7,178,85,86,7,85,55,38
1934,9,15,United States,1764,-1,-20,16,1717,-3,-4,17,2,8,7,8,7,2
1934,10,16,Sweden,1756,1,25,15,1710,5,65,184,91,82,11,86,69,29
1934,11,20,Egypt,1685,-2,-31,20,1690,-1,-16,17,2,5,10,8,7,2
1934,12,24,Netherlands,1664,-3,-37,11,1840,3,19,137,67,58,12,59,54,24
1934,13,27,Switzerland,1636,4,23,22,1563,1,-2,127,61,57,9,33,72,22
1934,14,28,Romania,1629,-2,-14,32,1580,3,31,43,19,19,5,22,16,5
1934,15,31,France,1610,-1,-5,24,1569,3,22,125,65,51,9,33,78,14
1934,16,40,Belgium,1524,-2,-20,15,1747,-8,-67,152,80,66,6,52,77,23
1938,1,1,Italy,2122,1,71,11,1788,0,50,143,69,54,20,75,34,34
1938,2,6,Hungary,1944,0,23,7,1895,4,60,213,98,104,11,105,64,44
